userID,M4096
U025,1.700000000000001
U027,4.0
U030,2.2666666666666666
U089,1.0999999999999996
U095,-0.9000000000000004
U104,0.35000000000000053
U114,0.40000000000000036
U142,1.5333333333333332
U203,-2.2666666666666666
U223,0.9333333333333336
U228,-1.9000000000000004
U238,1.1000000000000005
U250,-1.2333333333333343
U281,-1.1333333333333337
U432,-2.2666666666666666
U517,1.7333333333333334
U558,1.4999999999999991
U574,0.40000000000000036
U604,-0.5999999999999996
U616,-1.0
U654,-0.09999999999999964
U665,-0.7000000000000002
U692,2.533333333333334
U718,-0.5999999999999996
U733,2.3999999999999995
U754,1.4333333333333327
U759,0.16666666666666785
U913,-1.4333333333333336
